AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
15.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-1.401000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.258000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.791000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.006200  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.109800  	0.016000  
-176.000000	0.219700  	0.038670  
-174.000000	0.329500  	0.083330  
-172.000000	0.439300  	0.150000  
-170.000000	0.549100  	0.181820  
-168.000000	0.659000  	0.213640  
-166.000000	0.768800  	0.245450  
-164.000000	0.749800  	0.277270  
-162.000000	0.723000  	0.309090  
-160.000000	0.705600  	0.340910  
-158.000000	0.694500  	0.372730  
-156.000000	0.687600  	0.404550  
-154.000000	0.683400  	0.436360  
-152.000000	0.680700  	0.468180  
-150.000000	0.678900  	0.500000  
-148.000000	0.677200  	0.467130  
-146.000000	0.675100  	0.516210  
-144.000000	0.672200  	0.566680  
-142.000000	0.668300  	0.618300  
-140.000000	0.663100  	0.670800  
-138.000000	0.656400  	0.673010  
-136.000000	0.648000  	0.728130  
-134.000000	0.637800  	0.783420  
-132.000000	0.625800  	0.838610  
-130.000000	0.611800  	0.893420  
-128.000000	0.595900  	0.947610  
-126.000000	0.577900  	1.000900  
-124.000000	0.558100  	1.053030  
-122.000000	0.536200  	1.103770  
-120.000000	0.512500  	1.152870  
-118.000000	0.486900  	1.200090  
-116.000000	0.459600  	1.245200  
-114.000000	0.430600  	1.287990  
-112.000000	0.400100  	1.328250  
-110.000000	0.368100  	1.365800  
-108.000000	0.334700  	1.400450  
-106.000000	0.300200  	1.432030  
-104.000000	0.264600  	1.460410  
-102.000000	0.228200  	1.485440  
-100.000000	0.191000  	1.507010  
-98.000000	0.153200  	1.525020  
-96.000000	0.115000  	1.539370  
-94.000000	0.076700  	1.550020  
-92.000000	0.038300  	1.556900  
-90.000000	0.000000  	1.560000  
-88.000000	-0.038300 	1.567760  
-86.000000	-0.076700 	1.571710  
-84.000000	-0.115000 	1.571870  
-82.000000	-0.153200 	1.568290  
-80.000000	-0.191000 	1.561000  
-78.000000	-0.228200 	1.550090  
-76.000000	-0.264600 	1.535630  
-74.000000	-0.300200 	1.517740  
-72.000000	-0.334700 	1.496530  
-70.000000	-0.368100 	1.472140  
-68.000000	-0.400100 	1.444720  
-66.000000	-0.430600 	1.414450  
-64.000000	-0.459600 	1.381500  
-62.000000	-0.486900 	1.346050  
-60.000000	-0.512500 	1.308330  
-58.000000	-0.536200 	1.268540  
-56.000000	-0.558100 	1.226900  
-54.000000	-0.577900 	1.183650  
-52.000000	-0.595900 	1.139030  
-50.000000	-0.611800 	1.093280  
-48.000000	-0.625800 	1.046650  
-46.000000	-0.637800 	0.999410  
-44.000000	-0.648000 	0.951790  
-42.000000	-0.656400 	0.904070  
-40.000000	-0.663100 	0.856490  
-38.000000	-0.668300 	0.809310  
-36.000000	-0.672200 	0.762790  
-34.000000	-0.675100 	0.717170  
-32.000000	-0.677200 	0.672690  
-30.000000	-0.678900 	0.629590  
-28.000000	-0.680700 	0.588100  
-26.000000	-0.683400 	0.548440  
-24.000000	-0.687600 	0.510820  
-22.000000	-0.694500 	0.475430  
-20.000000	-0.705600 	0.442460  
