AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
13.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-4.285000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.034000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.820000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.009030  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.136600  	0.016000  
-176.000000	0.273200  	0.038670  
-174.000000	0.409900  	0.083330  
-172.000000	0.546500  	0.150000  
-170.000000	0.683100  	0.181820  
-168.000000	0.819700  	0.213640  
-166.000000	0.956300  	0.245450  
-164.000000	0.988300  	0.277270  
-162.000000	0.931300  	0.309090  
-160.000000	0.889300  	0.340910  
-158.000000	0.857800  	0.372730  
-156.000000	0.833600  	0.404550  
-154.000000	0.814500  	0.436360  
-152.000000	0.798900  	0.468180  
-150.000000	0.785600  	0.500000  
-148.000000	0.773700  	0.467130  
-146.000000	0.762500  	0.516210  
-144.000000	0.751500  	0.566680  
-142.000000	0.740100  	0.618300  
-140.000000	0.728100  	0.670800  
-138.000000	0.715100  	0.673010  
-136.000000	0.701000  	0.728130  
-134.000000	0.685500  	0.783420  
-132.000000	0.668600  	0.838610  
-130.000000	0.650200  	0.893420  
-128.000000	0.630100  	0.947610  
-126.000000	0.608300  	1.000900  
-124.000000	0.584900  	1.053030  
-122.000000	0.559800  	1.103770  
-120.000000	0.533000  	1.152870  
-118.000000	0.504700  	1.200090  
-116.000000	0.474800  	1.245200  
-114.000000	0.443500  	1.287990  
-112.000000	0.410800  	1.328250  
-110.000000	0.376900  	1.365800  
-108.000000	0.341900  	1.400450  
-106.000000	0.305800  	1.432030  
-104.000000	0.268900  	1.460410  
-102.000000	0.231300  	1.485440  
-100.000000	0.193100  	1.507010  
-98.000000	0.154600  	1.525020  
-96.000000	0.115800  	1.539370  
-94.000000	0.077000  	1.550020  
-92.000000	0.038300  	1.556900  
-90.000000	0.000000  	1.560000  
-88.000000	-0.038300 	1.567440  
-86.000000	-0.077000 	1.571080  
-84.000000	-0.115800 	1.570930  
-82.000000	-0.154600 	1.567030  
-80.000000	-0.193100 	1.559430  
-78.000000	-0.231300 	1.548210  
-76.000000	-0.268900 	1.533440  
-74.000000	-0.305800 	1.515240  
-72.000000	-0.341900 	1.493730  
-70.000000	-0.376900 	1.469050  
