AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
13.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-4.256000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.019000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.813000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.010120  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.129500  	0.016000  
-176.000000	0.259000  	0.038670  
-174.000000	0.388400  	0.083330  
-172.000000	0.517900  	0.150000  
-170.000000	0.647400  	0.181820  
-168.000000	0.776900  	0.213640  
-166.000000	0.906400  	0.245450  
-164.000000	0.938500  	0.277270  
-162.000000	0.887800  	0.309090  
-160.000000	0.850900  	0.340910  
-158.000000	0.823700  	0.372730  
-156.000000	0.803100  	0.404550  
-154.000000	0.787100  	0.436360  
-152.000000	0.774200  	0.468180  
-150.000000	0.763300  	0.500000  
-148.000000	0.753600  	0.467130  
-146.000000	0.744300  	0.516210  
-144.000000	0.734900  	0.566680  
-142.000000	0.725100  	0.618300  
-140.000000	0.714500  	0.670800  
-138.000000	0.702800  	0.673010  
-136.000000	0.689900  	0.728130  
-134.000000	0.675600  	0.783420  
-132.000000	0.659700  	0.838610  
-130.000000	0.642200  	0.893420  
-128.000000	0.622900  	0.947610  
-126.000000	0.602000  	1.000900  
-124.000000	0.579300  	1.053030  
-122.000000	0.554900  	1.103770  
-120.000000	0.528800  	1.152870  
-118.000000	0.501000  	1.200090  
-116.000000	0.471700  	1.245200  
-114.000000	0.440800  	1.287990  
-112.000000	0.408600  	1.328250  
-110.000000	0.375100  	1.365800  
-108.000000	0.340400  	1.400450  
-106.000000	0.304600  	1.432030  
-104.000000	0.268000  	1.460410  
-102.000000	0.230600  	1.485440  
-100.000000	0.192700  	1.507010  
-98.000000	0.154300  	1.525020  
