AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
15.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-1.278000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.156000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.749000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.006440  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.130500  	0.016000  
-176.000000	0.261000  	0.038670  
-174.000000	0.391600  	0.083330  
-172.000000	0.522100  	0.150000  
-170.000000	0.652600  	0.181820  
-168.000000	0.783100  	0.213640  
-166.000000	0.783200  	0.245450  
-164.000000	0.743200  	0.277270  
-162.000000	0.717200  	0.309090  
-160.000000	0.700500  	0.340910  
-158.000000	0.690000  	0.372730  
-156.000000	0.683600  	0.404550  
-154.000000	0.679700  	0.436360  
-152.000000	0.677500  	0.468180  
-150.000000	0.675900  	0.500000  
-148.000000	0.674500  	0.467130  
-146.000000	0.672700  	0.516210  
-144.000000	0.670000  	0.566680  
-142.000000	0.666300  	0.618300  
-140.000000	0.661300  	0.670800  
-138.000000	0.654800  	0.673010  
-136.000000	0.646500  	0.728130  
-134.000000	0.636500  	0.783420  
-132.000000	0.624600  	0.838610  
-130.000000	0.610700  	0.893420  
-128.000000	0.594900  	0.947610  
-126.000000	0.577100  	1.000900  
-124.000000	0.557300  	1.053030  
-122.000000	0.535600  	1.103770  
-120.000000	0.511900  	1.152870  
-118.000000	0.486500  	1.200090  
-116.000000	0.459200  	1.245200  
-114.000000	0.430300  	1.287990  
-112.000000	0.399800  	1.328250  
-110.000000	0.367800  	1.365800  
-108.000000	0.334500  	1.400450  
-106.000000	0.300000  	1.432030  
-104.000000	0.264500  	1.460410  
-102.000000	0.228100  	1.485440  
-100.000000	0.190900  	1.507010  
-98.000000	0.153200  	1.525020  
-96.000000	0.115000  	1.539370  
-94.000000	0.076700  	1.550020  
-92.000000	0.038300  	1.556900  
-90.000000	0.000000  	1.560000  
-88.000000	-0.038300 	1.568420  
-86.000000	-0.076700 	1.573040  
-84.000000	-0.115000 	1.573870  
-82.000000	-0.153200 	1.570940  
-80.000000	-0.190900 	1.564320  
-78.000000	-0.228100 	1.554060  
-76.000000	-0.264500 	1.540250  
-74.000000	-0.300000 	1.523000  
-72.000000	-0.334500 	1.502420  
-70.000000	-0.367800 	1.478670  
-68.000000	-0.399800 	1.451870  
-66.000000	-0.430300 	1.422210  
-64.000000	-0.459200 	1.389860  
-62.000000	-0.486500 	1.355020  
-60.000000	-0.511900 	1.317870  
-58.000000	-0.535600 	1.278650  
-56.000000	-0.557300 	1.237570  
-54.000000	-0.577100 	1.194870  
-52.000000	-0.594900 	1.150780  
-50.000000	-0.610700 	1.105550  
-48.000000	-0.624600 	1.059430  
-46.000000	-0.636500 	1.012670  
-44.000000	-0.646500 	0.965520  
-42.000000	-0.654800 	0.918250  
-40.000000	-0.661300 	0.871110  
-38.000000	-0.666300 	0.824350  
-36.000000	-0.670000 	0.778230  
-34.000000	-0.672700 	0.732990  
-32.000000	-0.674500 	0.688880  
-30.000000	-0.675900 	0.646130  
-28.000000	-0.677500 	0.604960  
-26.000000	-0.679700 	0.565600  
-24.000000	-0.683600 	0.528260  
-22.000000	-0.690000 	0.493130  
-20.000000	-0.700500 	0.460400  
-18.000000	-0.717200 	0.430240  
-16.000000	-0.743200 	0.402810  
-14.000000	-0.783200 	0.378260  
-12.000000	-0.710700 	0.041090  
-10.000000	-0.690300 	0.033160  
-8.000000 	-0.589000 	0.024830  
-6.000000 	-0.456500 	0.008910  
-4.000000 	-0.260700 	0.006120  
-2.000000 	-0.073100 	0.006540  
0.000000  	0.118000  	0.006440  
2.000000  	0.363500  	0.006540  
4.000000  	0.603500  	0.006120  
6.000000  	0.757800  	0.008910  
8.000000  	0.868900  	0.024830  
10.000000 	0.957200  	0.033160  
12.000000 	1.043000  	0.041090  
14.000000 	1.061700  	0.060970  
16.000000 	1.061700  	0.151350  
18.000000 	1.024600  	0.278080  
20.000000 	1.000700  	0.311050  
22.000000 	0.985700  	0.043950  
24.000000 	0.976500  	0.052130  
26.000000 	0.971100  	0.063420  
28.000000 	0.967800  	0.374080  
30.000000 	0.965600  	0.419670  
32.000000 	0.963600  	0.467130  
34.000000 	0.960900  	0.516210  
36.000000 	0.957200  	0.566680  
38.000000 	0.951900  	0.618300  
40.000000 	0.944700  	0.670800  
42.000000 	0.935400  	0.723930  
44.000000 	0.923600  	0.777420  
46.000000 	0.909300  	0.831020  
48.000000 	0.892300  	0.884460  
50.000000 	0.872500  	0.937470  
52.000000 	0.849900  	0.989790  
54.000000 	0.824400  	1.041170  
