AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
13.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-4.245000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.009000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.809000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.010720  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.125500  	0.016000  
-176.000000	0.251000  	0.038670  
-174.000000	0.376400  	0.083330  
-172.000000	0.501900  	0.150000  
-170.000000	0.627400  	0.181820  
-168.000000	0.752900  	0.213640  
-166.000000	0.878300  	0.245450  
-164.000000	0.910600  	0.277270  
-162.000000	0.863400  	0.309090  
-160.000000	0.829400  	0.340910  
-158.000000	0.804600  	0.372730  
-156.000000	0.786000  	0.404550  
-154.000000	0.771800  	0.436360  
-152.000000	0.760400  	0.468180  
-150.000000	0.750800  	0.500000  
-148.000000	0.742300  	0.467130  
-146.000000	0.734000  	0.516210  
-144.000000	0.725600  	0.566680  
-142.000000	0.716700  	0.618300  
-140.000000	0.706900  	0.670800  
-138.000000	0.696000  	0.673010  
-136.000000	0.683700  	0.728130  
-134.000000	0.670000  	0.783420  
-132.000000	0.654700  	0.838610  
-130.000000	0.637700  	0.893420  
-128.000000	0.618900  	0.947610  
-126.000000	0.598400  	1.000900  
-124.000000	0.576100  	1.053030  
-122.000000	0.552100  	1.103770  
-120.000000	0.526400  	1.152870  
-118.000000	0.498900  	1.200090  
-116.000000	0.469900  	1.245200  
-114.000000	0.439300  	1.287990  
-112.000000	0.407300  	1.328250  
-110.000000	0.374000  	1.365800  
-108.000000	0.339500  	1.400450  
-106.000000	0.304000  	1.432030  
-104.000000	0.267500  	1.460410  
-102.000000	0.230300  	1.485440  
-100.000000	0.192400  	1.507010  
-98.000000	0.154100  	1.525020  
-96.000000	0.115600  	1.539370  
-94.000000	0.076900  	1.550020  
-92.000000	0.038300  	1.556900  
-90.000000	0.000000  	1.560000  
-88.000000	-0.038300 	1.567440  
-86.000000	-0.076900 	1.571080  
-84.000000	-0.115600 	1.570930  
-82.000000	-0.154100 	1.567030  
-80.000000	-0.192400 	1.559430  
-78.000000	-0.230300 	1.548210  
-76.000000	-0.267500 	1.533440  
-74.000000	-0.304000 	1.515240  
-72.000000	-0.339500 	1.493730  
-70.000000	-0.374000 	1.469050  
-68.000000	-0.407300 	1.441340  
-66.000000	-0.439300 	1.410770  
-64.000000	-0.469900 	1.377530  
-62.000000	-0.498900 	1.341810  
-60.000000	-0.526400 	1.303810  
-58.000000	-0.552100 	1.263750  
-56.000000	-0.576100 	1.221840  
-54.000000	-0.598400 	1.178340  
-52.000000	-0.618900 	1.133460  
-50.000000	-0.637700 	1.087470  
-48.000000	-0.654700 	1.040600  
-46.000000	-0.670000 	0.993130  
-44.000000	-0.683700 	0.945290  
-42.000000	-0.696000 	0.897350  
-40.000000	-0.706900 	0.849560  
-38.000000	-0.716700 	0.802190  
-36.000000	-0.725600 	0.755470  
-34.000000	-0.734000 	0.709670  
-32.000000	-0.742300 	0.665020  
-30.000000	-0.750800 	0.621760  
-28.000000	-0.760400 	0.580120  
-26.000000	-0.771800 	0.540320  
-24.000000	-0.786000 	0.502560  
-22.000000	-0.804600 	0.467050  
-20.000000	-0.829400 	0.433960  
-18.000000	-0.863400 	0.403490  
-16.000000	-0.910600 	0.375770  
-14.000000	-0.587600 	0.116620  
-12.000000	-0.477900 	0.040300  
-10.000000	-0.368200 	0.024260  
-8.000000 	-0.258600 	0.012880  
-6.000000 	-0.148900 	0.011770  
-4.000000 	0.013900  	0.011170  
-2.000000 	0.228900  	0.010870  
