AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
13.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-1.782000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.271000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.618000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.006440  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.105700  	0.016000  
-176.000000	0.211400  	0.038670  
-174.000000	0.317000  	0.083330  
-172.000000	0.422700  	0.150000  
-170.000000	0.528400  	0.181820  
-168.000000	0.634100  	0.213640  
-166.000000	0.739800  	0.245450  
-164.000000	0.772500  	0.277270  
-162.000000	0.742800  	0.309090  
-160.000000	0.723100  	0.340910  
-158.000000	0.710100  	0.372730  
-156.000000	0.701500  	0.404550  
-154.000000	0.695900  	0.436360  
-152.000000	0.692000  	0.468180  
-150.000000	0.689100  	0.500000  
-148.000000	0.686400  	0.467130  
-146.000000	0.683400  	0.516210  
-144.000000	0.679800  	0.566680  
-142.000000	0.675200  	0.618300  
-140.000000	0.669300  	0.670800  
-138.000000	0.662000  	0.673010  
-136.000000	0.653000  	0.728130  
-134.000000	0.642400  	0.783420  
-132.000000	0.629900  	0.838610  
-130.000000	0.615500  	0.893420  
-128.000000	0.599100  	0.947610  
-126.000000	0.580800  	1.000900  
-124.000000	0.560600  	1.053030  
-122.000000	0.538500  	1.103770  
-120.000000	0.514500  	1.152870  
-118.000000	0.488600  	1.200090  
-116.000000	0.461100  	1.245200  
-114.000000	0.431900  	1.287990  
-112.000000	0.401100  	1.328250  
-110.000000	0.368900  	1.365800  
-108.000000	0.335400  	1.400450  
-106.000000	0.300700  	1.432030  
-104.000000	0.265000  	1.460410  
-102.000000	0.228500  	1.485440  
-100.000000	0.191200  	1.507010  
-98.000000	0.153300  	1.525020  
-96.000000	0.115100  	1.539370  
-94.000000	0.076700  	1.550020  
-92.000000	0.038300  	1.556900  
-90.000000	0.000000  	1.560000  
-88.000000	-0.038300 	1.567440  
-86.000000	-0.076700 	1.571080  
-84.000000	-0.115100 	1.570930  
-82.000000	-0.153300 	1.567030  
-80.000000	-0.191200 	1.559430  
-78.000000	-0.228500 	1.548210  
-76.000000	-0.265000 	1.533440  
-74.000000	-0.300700 	1.515240  
-72.000000	-0.335400 	1.493730  
-70.000000	-0.368900 	1.469050  
-68.000000	-0.401100 	1.441340  
-66.000000	-0.431900 	1.410770  
-64.000000	-0.461100 	1.377530  
-62.000000	-0.488600 	1.341810  
-60.000000	-0.514500 	1.303810  
-58.000000	-0.538500 	1.263750  
-56.000000	-0.560600 	1.221840  
-54.000000	-0.580800 	1.178340  
-52.000000	-0.599100 	1.133460  
-50.000000	-0.615500 	1.087470  
-48.000000	-0.629900 	1.040600  
-46.000000	-0.642400 	0.993130  
-44.000000	-0.653000 	0.945290  
-42.000000	-0.662000 	0.897350  
-40.000000	-0.669300 	0.849560  
-38.000000	-0.675200 	0.802190  
-36.000000	-0.679800 	0.755470  
-34.000000	-0.683400 	0.709670  
-32.000000	-0.686400 	0.665020  
-30.000000	-0.689100 	0.621760  
-28.000000	-0.692000 	0.580120  
-26.000000	-0.695900 	0.540320  
-24.000000	-0.701500 	0.502560  
-22.000000	-0.710100 	0.467050  
-20.000000	-0.723100 	0.433960  
-18.000000	-0.742800 	0.403490  
-16.000000	-0.772500 	0.375770  
-14.000000	-0.852300 	0.077640  
-12.000000	-0.715300 	0.048960  
-10.000000	-0.578300 	0.027530  
-8.000000 	-0.441200 	0.014490  
-6.000000 	-0.304200 	0.010030  
-4.000000 	-0.160800 	0.006510  
-2.000000 	-0.011000 	0.006370  
0.000000  	0.183600  	0.006440  
2.000000  	0.420300  	0.006370  
4.000000  	0.655300  	0.006510  
6.000000  	0.838900  	0.010030  
8.000000  	1.014100  	0.014490  
10.000000 	1.105400  	0.027530  
12.000000 	1.124800  	0.048960  
14.000000 	1.116100  	0.077640  
16.000000 	1.103600  	0.107690  
18.000000 	1.061200  	0.144050  
20.000000 	1.033000  	0.180410  
22.000000 	1.014400  	0.219450  
24.000000 	1.002100  	0.258490  
26.000000 	0.994100  	0.312000  
28.000000 	0.988600  	0.374080  
30.000000 	0.984400  	0.419670  
32.000000 	0.980500  	0.467130  
34.000000 	0.976300  	0.516210  
36.000000 	0.971100  	0.566680  
38.000000 	0.964500  	0.618300  
40.000000 	0.956100  	0.670800  
42.000000 	0.945700  	0.723930  
44.000000 	0.932900  	0.777420  
46.000000 	0.917700  	0.831020  
48.000000 	0.899800  	0.884460  
50.000000 	0.879200  	0.937470  
52.000000 	0.855900  	0.989790  
54.000000 	0.829800  	1.041170  
56.000000 	0.800900  	1.091350  
58.000000 	0.769200  	1.140080  
60.000000 	0.734900  	1.187130  
62.000000 	0.698100  	1.232250  
64.000000 	0.658700  	1.275230  
66.000000 	0.616900  	1.315860  
68.000000 	0.573000  	1.353920  
70.000000 	0.527000  	1.389230  
72.000000 	0.479200  	1.421620  
