AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
13.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-2.484000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.204000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.677000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.007150  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.115100  	0.016000  
-176.000000	0.230200  	0.038670  
-174.000000	0.345400  	0.083330  
-172.000000	0.460500  	0.150000  
-170.000000	0.575600  	0.181820  
-168.000000	0.690700  	0.213640  
-166.000000	0.805800  	0.245450  
-164.000000	0.838300  	0.277270  
-162.000000	0.800300  	0.309090  
-160.000000	0.773800  	0.340910  
-158.000000	0.755100  	0.372730  
-156.000000	0.741800  	0.404550  
-154.000000	0.732100  	0.436360  
-152.000000	0.724600  	0.468180  
-150.000000	0.718500  	0.500000  
-148.000000	0.713000  	0.467130  
-146.000000	0.707500  	0.516210  
-144.000000	0.701600  	0.566680  
-142.000000	0.695000  	0.618300  
-140.000000	0.687200  	0.670800  
-138.000000	0.678200  	0.673010  
-136.000000	0.667700  	0.728130  
-134.000000	0.655500  	0.783420  
-132.000000	0.641700  	0.838610  
-130.000000	0.626000  	0.893420  
-128.000000	0.608600  	0.947610  
-126.000000	0.589200  	1.000900  
-124.000000	0.568000  	1.053030  
-122.000000	0.545000  	1.103770  
-120.000000	0.520100  	1.152870  
-118.000000	0.493500  	1.200090  
-116.000000	0.465300  	1.245200  
-114.000000	0.435400  	1.287990  
-112.000000	0.404100  	1.328250  
-110.000000	0.371400  	1.365800  
-108.000000	0.337400  	1.400450  
-106.000000	0.302300  	1.432030  
-104.000000	0.266200  	1.460410  
-102.000000	0.229300  	1.485440  
-100.000000	0.191800  	1.507010  
-98.000000	0.153700  	1.525020  
-96.000000	0.115300  	1.539370  
-94.000000	0.076800  	1.550020  
