AeroDyn airfoil file.
auto generated by airfoil.py (part of rotor TEAM)
1         	Number of airfoil tables in this file   
0         	Table ID parameter                      
16.000000 	Stall angle (deg)                       
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
0.000000  	No longer used, enter zero              
-1.232000 	Angle of attack for zero Cn for linear Cn curve (deg)
6.118000  	Cn slope for zero lift for linear Cn curve (1/rad)
1.840000  	Cn at stall value for positive angle of attack for linear Cn curve
-1.000000 	Cn at stall value for negative angle of attack for linear Cn curve
0.000000  	Angle of attack for minimum CD (deg)    
0.006530  	Minimum CD value                        
-180.000000	0.000000  	0.012000  
-178.000000	0.137200  	0.016000  
-176.000000	0.274400  	0.038670  
-174.000000	0.411600  	0.083330  
-172.000000	0.548800  	0.150000  
-170.000000	0.686000  	0.181820  
-168.000000	0.823200  	0.213640  
-166.000000	0.764700  	0.245450  
-164.000000	0.727200  	0.277270  
-162.000000	0.703300  	0.309090  
-160.000000	0.688200  	0.340910  
-158.000000	0.679000  	0.372730  
-156.000000	0.673800  	0.404550  
-154.000000	0.671000  	0.436360  
-152.000000	0.669600  	0.468180  
-150.000000	0.668800  	0.500000  
-148.000000	0.668000  	0.467130  
-146.000000	0.666800  	0.516210  
-144.000000	0.664700  	0.566680  
-142.000000	0.661500  	0.618300  
-140.000000	0.657000  	0.670800  
-138.000000	0.650800  	0.673010  
-136.000000	0.643000  	0.728130  
-134.000000	0.633300  	0.783420  
-132.000000	0.621700  	0.838610  
-130.000000	0.608200  	0.893420  
-128.000000	0.592600  	0.947610  
-126.000000	0.575100  	1.000900  
-124.000000	0.555500  	1.053030  
-122.000000	0.534000  	1.103770  
-120.000000	0.510600  	1.152870  
-118.000000	0.485300  	1.200090  
-116.000000	0.458200  	1.245200  
-114.000000	0.429400  	1.287990  
-112.000000	0.399100  	1.328250  
-110.000000	0.367200  	1.365800  
-108.000000	0.334100  	1.400450  
-106.000000	0.299700  	1.432030  
-104.000000	0.264200  	1.460410  
-102.000000	0.227900  	1.485440  
-100.000000	0.190700  	1.507010  
-98.000000	0.153100  	1.525020  
-96.000000	0.115000  	1.539370  
-94.000000	0.076600  	1.550020  
-92.000000	0.038300  	1.556900  
-90.000000	0.000000  	1.560000  
-88.000000	-0.038300 	1.568650  
-86.000000	-0.076600 	1.573490  
-84.000000	-0.115000 	1.574540  
-82.000000	-0.153100 	1.571840  
-80.000000	-0.190700 	1.565430  
-78.000000	-0.227900 	1.555390  
-76.000000	-0.264200 	1.541800  
-74.000000	-0.299700 	1.524770  
-72.000000	-0.334100 	1.504410  
-70.000000	-0.367200 	1.480860  
-68.000000	-0.399100 	1.454280  
-66.000000	-0.429400 	1.424820  
-64.000000	-0.458200 	1.392680  
-62.000000	-0.485300 	1.358030  
-60.000000	-0.510600 	1.321080  
-58.000000	-0.534000 	1.282050  
-56.000000	-0.555500 	1.241160  
-54.000000	-0.575100 	1.198640  
-52.000000	-0.592600 	1.154730  
-50.000000	-0.608200 	1.109680  
-48.000000	-0.621700 	1.063720  
-46.000000	-0.633300 	1.017130  
-44.000000	-0.643000 	0.970140  
-42.000000	-0.650800 	0.923020  
-40.000000	-0.657000 	0.876030  
-38.000000	-0.661500 	0.829410  
-36.000000	-0.664700 	0.783430  
-34.000000	-0.666800 	0.738320  
-32.000000	-0.668000 	0.694320  
-30.000000	-0.668800 	0.651690  
-28.000000	-0.669600 	0.610630  
-26.000000	-0.671000 	0.571370  
-24.000000	-0.673800 	0.534120  
-22.000000	-0.679000 	0.499080  
-20.000000	-0.688200 	0.466430  
-18.000000	-0.703300 	0.436350  
-16.000000	-0.727200 	0.408990  
-14.000000	-0.764700 	0.384490  
-12.000000	-0.764700 	0.384490  
-10.000000	-0.711600 	0.034360  
-8.000000 	-0.620400 	0.027440  
-6.000000 	-0.490000 	0.008630  
-4.000000 	-0.280000 	0.006130  
-2.000000 	-0.080500 	0.006680  
0.000000  	0.110500  	0.006530  
2.000000  	0.357500  	0.006680  
4.000000  	0.598000  	0.006130  
6.000000  	0.745700  	0.008630  
8.000000  	0.841000  	0.027440  
10.000000 	0.931000  	0.034360  
12.000000 	1.038900  	0.038200  
14.000000 	1.038900  	0.057070  
16.000000 	1.038900  	0.164540  
18.000000 	1.004700  	0.314200  
20.000000 	0.983100  	0.346010  
22.000000 	0.970100  	0.346010  
24.000000 	0.962500  	0.346010  
26.000000 	0.958500  	0.346010  
28.000000 	0.956500  	0.374080  
30.000000 	0.955400  	0.419670  
32.000000 	0.954300  	0.467130  
34.000000 	0.952600  	0.516210  
36.000000 	0.949600  	0.566680  
38.000000 	0.945000  	0.618300  
40.000000 	0.938500  	0.670800  
42.000000 	0.929700  	0.723930  
44.000000 	0.918500  	0.777420  
46.000000 	0.904700  	0.831020  
48.000000 	0.888200  	0.884460  
50.000000 	0.868800  	0.937470  
52.000000 	0.846600  	0.989790  
54.000000 	0.821500  	1.041170  
56.000000 	0.793600  	1.091350  
58.000000 	0.762900  	1.140080  
60.000000 	0.729400  	1.187130  
62.000000 	0.693200  	1.232250  
64.000000 	0.654600  	1.275230  
66.000000 	0.613400  	1.315860  
68.000000 	0.570100  	1.353920  
70.000000 	0.524600  	1.389230  
72.000000 	0.477200  	1.421620  
74.000000 	0.428100  	1.450920  
76.000000 	0.377400  	1.476990  
78.000000 	0.325500  	1.499690  
80.000000 	0.272500  	1.518910  
82.000000 	0.218700  	1.534550  
84.000000 	0.164200  	1.546540  
86.000000 	0.109500  	1.554800  
88.000000 	0.054600  	1.559300  
90.000000 	0.000000  	1.560000  
92.000000 	-0.038300 	1.556900  
94.000000 	-0.076600 	1.550020  
96.000000 	-0.115000 	1.539370  
98.000000 	-0.153100 	1.525020  
100.000000	-0.190700 	1.507010  
102.000000	-0.227900 	1.485440  
104.000000	-0.264200 	1.460410  
106.000000	-0.299700 	1.432030  
108.000000	-0.334100 	1.400450  
110.000000	-0.367200 	1.365800  
112.000000	-0.399100 	1.328250  
114.000000	-0.429400 	1.287990  
116.000000	-0.458200 	1.245200  
118.000000	-0.485300 	1.200090  
120.000000	-0.510600 	1.152870  
122.000000	-0.534000 	1.103770  
124.000000	-0.555500 	1.053030  
126.000000	-0.575100 	1.000900  
128.000000	-0.592600 	0.947610  
130.000000	-0.608200 	0.893420  
132.000000	-0.621700 	0.838610  
134.000000	-0.633300 	0.783420  
136.000000	-0.643000 	0.728130  
138.000000	-0.650800 	0.673010  
140.000000	-0.657000 	0.670800  
142.000000	-0.661500 	0.618300  
144.000000	-0.664700 	0.566680  
146.000000	-0.666800 	0.516210  
148.000000	-0.668000 	0.467130  
150.000000	-0.668800 	0.500000  
152.000000	-0.669600 	0.468180  
154.000000	-0.671000 	0.436360  
156.000000	-0.673800 	0.404550  
158.000000	-0.679000 	0.372730  
160.000000	-0.688200 	0.340910  
162.000000	-0.703300 	0.309090  
164.000000	-0.727200 	0.277270  
166.000000	-0.764700 	0.245450  
168.000000	-0.823200 	0.213640  
170.000000	-0.686000 	0.181820  
172.000000	-0.548800 	0.150000  
174.000000	-0.411600 	0.083330  
176.000000	-0.274400 	0.038670  
178.000000	-0.137200 	0.016000  
180.000000	0.000000  	0.012000  
